35 52 -1 [0, -1, 0, 1, 0, 1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
35 53 -1 [0, -1, 0, 1, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
35 54 -1 [0, -1, 0, 1, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
35 55 -1 [0, -1, 0, 1, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 56 -1 [1, 0, 0, 0, 1, 0, 0, 0, -1] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 57 -1 [0, 1, 0, 0, 1, 0, 0, 0, -1] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 58 -1 [0, 0, 1, 0, 1, 0, 0, 0, -1] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 59 -1 [0, 0, 0, 1, 1, 0, 0, 0, -1] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 60 -1 [0, 0, 0, 0, 1, 1, 0, 0, -1] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 61 -1 [0, 0, 0, 0, 1, 0, 1, 0, -1] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 62 -1 [0, 0, 0, 0, 1, 0, 0, 1, -1] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
193 315 1 [1, -1, 1, -1, 0, 0, 0, 0, 0] 3 {'N': 179, 'W': -136, 'Q': -0.7597765363128491, 'P': None}
193 316 1 [1, -1, 1, 0, -1, 0, 0, 0, 0] 4 {'N': 209, 'W': -200, 'Q': -0.9569377990430622, 'P': None}
193 317 1 [1, -1, 1, 0, 0, -1, 0, 0, 0] 5 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
193 318 1 [1, -1, 1, 0, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
193 319 1 [1, -1, 1, 0, 0, 0, 0, -1, 0] 7 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
193 320 1 [1, -1, 1, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
194 395 1 [1, -1, -1, 1, 0, 0, 0, 0, 0] 2 {'N': 220, 'W': -208, 'Q': -0.9454545454545454, 'P': None}
194 396 1 [1, -1, 0, 1, -1, 0, 0, 0, 0] 4 {'N': 207, 'W': -201, 'Q': -0.9710144927536232, 'P': None}
194 397 1 [1, -1, 0, 1, 0, -1, 0, 0, 0] 5 {'N': 7, 'W': -1, 'Q': -0.14285714285714285, 'P': None}
194 398 1 [1, -1, 0, 1, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
194 399 1 [1, -1, 0, 1, 0, 0, 0, -1, 0] 7 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
194 400 1 [1, -1, 0, 1, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
195 442 1 [1, -1, -1, 0, 1, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
195 443 1 [1, -1, 0, -1, 1, 0, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
195 444 1 [1, -1, 0, 0, 1, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
195 445 1 [1, -1, 0, 0, 1, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
195 446 1 [1, -1, 0, 0, 1, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
195 447 1 [1, -1, 0, 0, 1, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
198 259 1 [1, -1, -1, 0, 0, 0, 0, 1, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
198 260 1 [1, -1, 0, -1, 0, 0, 0, 1, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
198 261 1 [1, -1, 0, 0, -1, 0, 0, 1, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
198 262 1 [1, -1, 0, 0, 0, -1, 0, 1, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
198 263 1 [1, -1, 0, 0, 0, 0, -1, 1, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
