147 366 1 [-1, 1, -1, 1, 0, -1, 1, 1, -1] 3 {'N': 129, 'W': 112, 'Q': 0.8682170542635659, 'P': None}
147 367 1 [-1, 1, -1, 0, 1, 0, 0, 1, 0] 4 {'N': 140, 'W': 117, 'Q': 0.8357142857142857, 'P': None}
147 368 1 [-1, 1, -1, 1, 1, 1, 1, -1, -1] 5 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
147 369 1 [-1, 1, -1, 1, -1, -1, 1, 1, 1] 6 {'N': 4, 'W': 2, 'Q': 0.5, 'P': None}
147 370 1 [-1, 1, -1, 0, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
147 371 1 [-1, 1, -1, 0, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
148 206 1 [-1, 1, 1, -1, 1, -1, 0, 1, 0] 2 {'N': 284, 'W': 274, 'Q': 0.9647887323943662, 'P': None}
148 207 1 [-1, 1, 1, -1, 1, -1, 1, -1, 1] 4 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
148 208 1 [-1, 1, -1, -1, 1, 1, 1, 1, -1] 5 {'N': 3, 'W': 3, 'Q': 1.0, 'P': None}
148 209 1 [-1, 1, -1, -1, 1, 1, 1, 1, -1] 6 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
148 210 1 [-1, 1, 1, -1, 0, -1, -1, 1, 1] 7 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
148 211 1 [-1, 1, 0, -1, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
149 457 1 [-1, 1, 1, 1, -1, -1, -1, 1, 1] 2 {'N': 125, 'W': 112, 'Q': 0.896, 'P': None}
149 458 1 [-1, 1, 1, 1, -1, -1, -1, 1, 1] 3 {'N': 122, 'W': 119, 'Q': 0.9754098360655737, 'P': None}
149 459 1 [-1, 1, 1, 1, -1, 1, -1, -1, 1] 5 {'N': 2, 'W': 1, 'Q': 0.5, 'P': None}
